vowel	voicing	word
a	voiceless	Back
a	voiceless	Match
a	voiceless	Matches
a	voiceless	back
a	voiceless	match
a	voiceless	matches
a	voiced	Badge
a	voiced	Badges
a	voiced	Bag
a	voiced	Bags
a	voiced	badge
a	voiced	badges
a	voiced	bag
a	voiced	bags
e	voiceless	Bet
e	voiceless	Betting
e	voiceless	Neck
e	voiceless	Necks
e	voiceless	bet
e	voiceless	betting
e	voiceless	neck
e	voiceless	necks
e	voiced	Bed
e	voiced	Beds
e	voiced	Beg
e	voiced	Begging
e	voiced	bed
e	voiced	beds
e	voiced	beg
e	voiced	begging
I	voiceless	Fish
I	voiceless	Sit
I	voiceless	Thick
I	voiceless	fish
I	voiceless	sit
I	voiceless	thick
I	voiced	Big
I	voiced	Dig
I	voiced	Give
I	voiced	big
I	voiced	dig
I	voiced	give
i	voiceless	Cheat
i	voiceless	Cheating
i	voiceless	Heat
i	voiceless	Niece
i	voiceless	Nieces
i	voiceless	cheat
i	voiceless	cheating
i	voiceless	heat
i	voiceless	niece
i	voiceless	nieces
i	voiced	Cheese
i	voiced	Lead
i	voiced	Leave
i	voiced	cheese
i	voiced	lead
i	voiced	leave
